¿En qué ciudad y fecha nació Manuel Belgrano?,Nació en Buenos Aires el 3 de junio de 1770.
¿A qué destinó Belgrano los 40.000 pesos oro otorgados como premio por sus victorias militares?,A la construcción de cuatro escuelas públicas en el norte argentino y Tarija.
Concepto: Banderas de Macha,Banderas del ejército de Belgrano ocultas en una capilla de Bolivia tras las derrotas de 1813 y halladas en 1883.
¿A quién entregó Belgrano el mando del Ejército del Norte en 1814?,A José de San Martín.
¿Cuál era el objetivo de la misión diplomática de Belgrano y Rivadavia a Europa en 1814-1815?,Buscar el reconocimiento de la independencia o negociar una monarquía constitucional.
¿Qué proyecto político propuso Belgrano en el Congreso de Tucumán de 1816 para gobernar las Provincias Unidas?,El Incanato (una monarquía constitucional liderada por un descendiente Inca).
¿Por qué el proyecto del 'Incanato' proponía que la capital de la nación fuera la ciudad de Cusco?,Para reparar la opresión a los pueblos originarios y ganar su apoyo masivo.
"¿Quién fue la madre de Pedro Pablo, el hijo de Belgrano que fue adoptado por Juan Manuel de Rosas?",María Josefa Ezcurra.
¿Por qué Manuel Belgrano no pudo casarse con María Dolores Helguero?,Porque el padre de ella la obligó a contraer matrimonio con otro hombre.
¿De qué enfermedad falleció Manuel Belgrano el 20 de junio de 1820?,Falleció de hidropesía.
¿Por qué se conoce al día de la muerte de Belgrano como el 'Día de los Tres Gobernadores'?,Debido a la anarquía política extrema que vivía Buenos Aires en ese momento.
¿Qué objeto entregó Belgrano a su médico como pago al no tener dinero al momento de su muerte?,Su reloj personal.
¿Cuáles fueron las últimas palabras pronunciadas por Belgrano en su lecho de muerte?,"“¡Ay, Patria mía!”."
¿De dónde se obtuvo el mármol para improvisar la lápida de Belgrano en el Convento de Santo Domingo?,De una cómoda de su casa familiar.
"En Argentina, el 20 de junio se celebra el Día de la Bandera en conmemoración de _____.",El fallecimiento de Manuel Belgrano.
¿Qué intelectuales económicos estudió Belgrano durante su formación en Europa?,Adam Smith y François Quesnay.
¿Cuál fue el primer periódico rioplatense donde Belgrano participó como colaborador destacado?,El Telégrafo Mercantil.
¿Cuál era la principal razón por la que Belgrano defendía el libre comercio frente al monopolio español?,Argumentaba que el progreso dependía de la libertad para producir y comerciar localmente.
La misión diplomática de Belgrano al Paraguay en 1810 derivó en un conflicto militar y un posterior _____.,Tratado de Amistad y Comercio que reconocía la autonomía paraguaya.
¿Qué importancia tuvo la escala de Belgrano en Río de Janeiro en 1815 durante su viaje a Europa?,Sirvió para asegurar que Brasil no intervendría militarmente por presión británica.
¿Cómo influyó la Revolución Francesa en el pensamiento político de Belgrano y San Martín?,Les hizo adoptar el ideario de soberanía política y económica basada en el trabajo y la industria.
Belgrano consideraba que el ____ era la principal herramienta para lograr el progreso económico y social de un pueblo.,Conocimiento (o la educación).
"A pesar de sus orígenes en una familia acaudalada, Belgrano murió en un estado de ____.",Pobreza extrema (tras haber donado sus bienes y premios a la causa pública).
¿En qué ciudad boliviana se encuentran hoy las 'Banderas de Macha'?,Una se encuentra en Sucre (Bolivia) y la otra en el Museo Histórico Nacional en Buenos Aires.
¿Qué buscaba Belgrano al fundar el Correo de Comercio en 1810?,Difundir ideas para la creación de un nuevo ordenamiento político y social.
¿En qué institución de Buenos Aires realizó Belgrano sus estudios secundarios antes de viajar a España?,Real Colegio de San Carlos.
"¿Qué idioma, además del español, dominaba Belgrano gracias a su formación y origen familiar?","Latín, francés, italiano e inglés."
¿Qué provincia fue recuperada para la causa patriota gracias a la victoria en la Batalla de Salta?,La provincia de Salta (asegurando el control del norte).
"Al frente del Ejército del Norte, Belgrano sufrió derrotas en 1813 en las batallas de _____.",Vilcapugio y Ayohuma.
¿Qué filósofo y economista inglés fue una de las lecturas clave de Belgrano sobre el libre mercado?,Adam Smith.
La teoría de la 'retroversión de la soberanía' de la Primera Junta sostenía que el poder volvía al pueblo ante la ausencia del ____.,Rey Fernando VII.
"¿Cuál era la profesión de Domenico Belgrano, padre de Manuel?",Comerciante italiano acaudalado.
Belgrano consideraba que un país fuerte debía producir sus propios recursos mediante el fomento de la _____ y la _____.,Agricultura e industria.
¿Qué característica de la personalidad de Belgrano se destaca al mencionar que nunca buscó privilegios por su cargo?,Su humildad y honestidad ciudadana.
La proclama del Éxodo Jujeño advertía que quienes no obedecieran la orden de retirada serían considerados ____.,Traidores a la patria.
¿Qué nombre recibió el reglamento redactado por Belgrano para las misiones guaraníes?,Reglamento para los pueblos de las misiones (antecedente de derechos humanos).
¿Quién fue el único periodista que publicó la noticia del fallecimiento de Belgrano en 1820?,El fraile Francisco de Paula Castañeda.
Termino: Incanato,"Proyecto de monarquía constitucional con un descendiente de los Incas como rey, propuesto por Belgrano en 1816."
